"iso","umd_tree_cover_gain_2000-2012__ha","umd_tree_cover_extent_2000__ha"
"ABW",1.05219989516873774,16.38451678318935935
"AFG",303.87041760872067532,148429.76924226084101639
"AGO",63770.61805186197882290,31917529.59513655486471866
"AIA",29.1221699455626345,1371.89740180928006146
"ALA",2445.230286973381940,87761.44832083499693606
"ALB",7355.144913998413793814,534847.67443270934649128
"AND",17.90057352410886425,16889.37602005503743461
"ARE",0.0,0.0
"ARG",643049.05959927441918579,23116356.08664206658448295
"ARM",1278.23222061527809376,294622.490757119948683558
"ATF",0.0,59.646528246902065
"ATG",248.59275157139140877,17271.39733735759570214
"AUS",1414603.018492251488887045,25719710.383313049865660873
"AUT",65849.51705501552639327,4114724.579500893796363246
"AZE",865.67835744302600013,1113390.39004608033756342
"BDI",3562.69968258741976098,140709.17877013969987594
"BEL",37463.22582320997902209,778289.54948231005646515
"BEN",6899.5611538865620547,9000.24775996490967587
"BES",66.08518899880031355,1758.78264890030554082
"BFA",0.15134429191731989,5.66128532770283836
"BGD",6974.34383388692488638,1522871.42308975711880653
"BGR",66876.7344858208130071,3858690.49917832416368790
"BHR",0.0,0.0
"BHS",787.69505605613587397,256960.32301989934280094
"BIH",26485.25436500410343306,2477204.26642709426095552
"BLM",1.09953588638456405,484.36630762049425482
"BLR",375763.90569370619168969,8384058.038156546869555415
"BLZ",12796.75793508087286920,1710654.19767154136908325
"BMU",38.17988563101182208,436.85029263097469017
"BOL",173608.72796756985247842,57489599.54628412058013945
"BRA",7586758.10645117811400831,475688332.43703969075833486
"BRB",196.12760189005541988,4618.75161907819217426
"BRN",8772.35674397049413993,523735.89375877351411164
"BTN",2158.61684023385378835,2366473.22435010661721528
"BWA",90.98270207800958864,1277.81601623200517750
"CAF",39343.68619132173021986,30767843.08040709302877006
"CAN",9107211.972424112740696878,324180960.937068958119090322
"CHE",10252.190594485439262876,1445309.307907538487418617
"CHL",1460994.21911386094447775,17815814.522107760566013022
"CHN",2239054.81895122948272716,131375325.39385801243236249
"CIV",229657.36579336172641290,6352991.45292367956320531
"CMR",65054.31629704176406434,25260678.09754733199011832
"COD",1392760.61849960329035557,164388383.31654676541257393
"COG",46653.70497710346026905,23943299.05240869202497037
"COL",552792.46704251554489059,78314736.96434630128588955
"COM",429.45241114861520789,105958.72261014581573201
"CPV",2034.34965968437405982,3744.17066355182312217
"CRI",38151.50755192484804395,3684714.55590681342272671
"CUB",227169.95021646310458823,3617393.63752488126419221
"CUW",29.2699166774117383,1939.99962752337603185
"CYM",43.30453770881216570,12395.01141870690264283
"CYP",117.06247377899049272,53668.97462910482312483
"CZE",133652.110442806221864774,2879777.09910711968906841
"DEU",257992.13508001798690621,11707136.363997361974067549
"DJI",0.0,0.07522455290689677
"DMA",13.06429136194679898,70127.06962022498790681
"DNK",32205.69309583391639830,561142.946790653078632046
"DOM",39306.59176137527583185,2236241.61962869310817666
"DZA",32539.46770985464037451,895575.929844271960072546
"ECU",101642.03710907649175932,17913830.45785462059417553
"EGY",4973.1266943052486574,14627.84672016809115753
"ERI",5.790908163709703,2.38065967624666205
"ESH",0.0,0.0
"ESP",448303.346013246627766221,8099431.145938285412092516
"EST",89430.76007531438158591,2465465.14707012728450899
"ETH",62534.12767243156659103,5425719.97615964773709445
"FIN",1084547.70963659573472268,18308143.829812518627283698
"FJI",11437.67500953238377150,1395341.90004711300193920
"FLK",19.69203687136294682,1065.76130921984293534
"FRA",506160.31162207542981079,15270417.05324248652896698
"FRO",0.0,0.0
"FSM",359.31050429710809343,6016.97044258990599700
"GAB",39057.63086656718011931,24158394.43140689025565603
"GBR",211148.288162210797915110,2962329.207085615873305064
"GEO",4788.4822294603947694,2956338.16533988007003277
"GGY",18.7924548693926253,1154.71506522770287974
"GHA",134527.30106915723119267,4253662.92680080229459975
"GIB",0.24973697174911777,99.81549406515813146
"GIN",29669.21623315226935805,2155937.69138746425979571
"GLP",1211.93124614853177685,90174.98225629173245294
"GMB",23.97452698816709148,37.16494195854966364
"GNB",6533.67241622464237986,314210.47903313651169119
"GNQ",5559.28760580508781507,2633384.13968255464867728
"GRC",35612.58381120167820983,2960493.557411231295188351
"GRD",72.60104502344449001,27654.02678664363409988
"GRL",0.0,0.0
"GTM",109465.89550225040091187,6951962.01886128345081010
"GUF",4154.62943168069846818,8153381.31791110263419780
"GUY",11390.10209583270029319,18900466.49841173507152675
"HKG",263.33248976538223444,52269.52698641786582397
"HND",58290.98593819340530661,6696597.75095640031672114
"HRV",26469.805452568231024145,2228569.597872592290783176
"HTI",4807.18921169989113458,657383.15325728829431478
"HUN",135108.1641437465893928,1797831.429829546123767224
"IDN",6963008.82899208291729288,155063352.17836168315662587
"IMN",291.22744946768141245,10278.6857197069340002
"IND",255070.69918410491398818,30465293.02599870411829181
"IRL",123819.07417815323950794,638979.282806566176658265
"IRN",1136.108233427613460894,1545450.79585375873464052
"IRQ",292.29497566626243032,6658.02720287606271208
"ISL",0.0,0.0
"ISR",1895.92598524108110144,18035.26889265803179575
"ITA",89811.81060236709029185,8382318.065651173114036190
"JAM",6772.47738259113793242,729817.33825824442944026
"JEY",27.44784921713820336,1236.7570985130544117
"JOR",8.37922904643889423,1530.75431207470198
"JPN",257181.78683861241762930,25597513.892999319749373819
"KAZ",23877.928454735742865425,3155280.557426857959714934
"KEN",100344.45011908491678360,1891471.73928016670684266
"KGZ",464.1714903983736554,430352.4493579481894350
"KHM",109561.50234795664062080,7482327.55059411126008264
"KIR",0.0,0.0
"KNA",102.00872914669631054,12369.33078764502936182
"KOR",27177.16888179361285212,4518887.048095058145875869
"KWT",0.13416696830946369,0.0
"LAO",338035.86591926293694829,18125586.88554527429741915
"LBN",1766.55994576250942759,44020.18184459742886853
"LBR",108379.18717985646109728,9055166.51843152479195690
"LBY",410.851937778513688,1803.03311285447872188
"LCA",36.47520208731832881,49236.10366857422732819
"LIE",31.55553317731599616,8196.65083429804497677
"LKA",26437.88889616440686028,3546042.61153180049981598
"LSO",164.40804063923622548,522.05175984246281579
"LTU",122598.82408186935093554,2178846.614144666018999646
"LUX",2716.023969526860621544,96722.32668600078259155
"LVA",185695.88299926838417155,3321041.164299984793897804
"MAC",2.71319905385075737,341.71787957176593026
"MAF",35.07448467323260494,1680.86247540269219652
"MAR",19541.65390639160453949,436049.36005860208725852
"MCO",0.0,0.05594724344401519
"MDA",6288.9294067580997281,315736.473980605342367624
"MDG",405045.96073897149244997,12241379.68751392862301226
"MDV",5.81098753201803319,4494.58682145612864025
"MEX",633316.34110674378470925,42125965.64016734650361579
"MKD",10436.794809526634068276,696106.723339642220922981
"MLI",5.0226778004683908,390.3070409893972949
"MLT",14.9555830989126665,85.045103424222431886
"MMR",314919.38757859036720427,39793697.10697710766441568
"MNE",7006.4564710113165274,550241.93451714104507374
"MNG",10244.59763035097214876,1863043.114290761938402755
"MOZ",144622.20109626640143785,10493859.76091984252909930
"MRT",0.44494625444280212,16.14362879977557
"MSR",8.03944550473090338,4290.25612244748296517
"MTQ",547.13465367685788394,70991.98752403492704814
"MUS",3010.18085608486375294,50858.43841498985919760
"MWI",10299.15947051579492203,313124.77803092532511708
"MYS",2580881.16257577755297482,28977160.05649430385356244
"MYT",37.08241512245408772,30547.30229245386079875
"NAM",44.19691567103889088,570.78855269221649457
"NCL",5724.32683596149948279,1051340.95717500466553207
"NER",0.07479490026964614,0.45068581327201192
"NFK",0.0,0.0
"NGA",60328.08434956818217477,4725124.47354955305482102
"NIC",66163.20360110532461443,7067162.65781570832382035
"NLD",7014.11036930261199541,473966.975071977146785244
"NOR",173269.416364185470171487,9807526.700330586281157605
"NPL",13404.28523688988905183,4308185.39262748681545467
"NRU",0.0,0.0
"NZL",710269.840914233216685995,10796209.511059004052958336
"OMN",0.28109951796981913,0.29054998303713414
"PAK",850.30319432111244649,666940.18313518621253925
"PAN",32305.75765562382177547,5454716.78345094880106430
"PER",191003.38285403823820349,76831886.62012358248309254
"PHL",272675.45089723209552860,17415156.62059738278710915
"PLW",256.05991869434165723,40143.07673592612780626
"PNG",230681.04726416269530959,41976752.67258331503020827
"POL",503713.70850884533374706,9529733.954471626568865852
"PRI",6411.83637529657898068,491958.96942300408627467
"PRK",13683.0229699004873023,4093698.296115230054253286
"PRT",286549.003675324878694274,1589978.199760473079714689
"PRY",51023.69207269413909248,13995686.27227028558474006
"PSE",144.8043094770967078,272.8245262340925075
"QAT",0.0,0.0
"REU",3064.36086825283598982,131489.04083652297285174
"ROU",153641.980980494961381065,7383118.175796314925647044
"RUS",16229638.81836059608124089,601267934.06780894715764982
"RWA",7080.51161606668235629,204387.51802948096903662
"SAU",0.0,6.7345439245617325
"SDN",9.00701996192630773,1170.97767555709661978
"SEN",211.08031607320054276,2065.26117062452492858
"SGP",1256.78856168069358138,16768.86962630659026389
"SJM",0.0,0.0
"SLB",20319.97941269072680755,2731814.29387701375182210
"SLE",45131.99088993402816275,3589286.48260608595609497
"SLV",8598.66620677944396708,801728.80747197654733286
"SMR",20.07156787294442,595.88607634712781053
"SOM",280.07818351225330555,15648.49913893483855047
"SPM",0.10614095436631342,4145.8515156624859160
"SRB",35620.57924363159889396,2504393.23390351154397526
"SSD",3834.72337827217001212,4111869.16253274127285355
"STP",14.5398273898844763,13222.74044760211933121
"SUR",7026.80018350861564574,13913266.76299915698920717
"SVK",52307.59876690893967705,2298452.58833134928757394
"SVN",3499.48631386072031376,1247110.869637497249916230
"SWE",1529417.756522332236623205,24023217.946107462148895998
"SWZ",61047.81845206210957266,199649.64175148582713899
"SXM",6.00559991470886261,913.48428777157011637
"SYC",0.0,2881.5360639237494194
"SYR",1575.14177282828004279,82137.82918342925049716
"TCA",15.09348401654200979,8652.91936578153836369
"TCD",75.76492180304474785,7270.00435267506195133
"TGO",2360.92623372401110538,127367.55303940868015255
"THA",499182.67560294006474540,17966879.29062891378019734
"TJK",143.05385158145665702,19343.41684927697302377
"TKM",278.87716178847411395,5850.532227040000129816
"TLS",6124.69277454602100434,616897.76708980694818160
"TTO",1600.53849109635729145,383107.93022979513224951
"TUN",11495.95711882719436139,178455.28865456667896390
"TUR",178368.39359688966027757,8214009.526043851118683309
"TUV",0.0,0.0
"TWN",6129.04242528764033461,2249939.75090506359239778
"TZA",304169.10442621776950512,9700637.44380521123123623
"UGA",68426.17289209118895078,3270233.16199147044393537
"UKR",353249.146546050014975105,9691026.364986025523522174
"UMI",1.60809623923819,122.28830155078102
"URY",498518.92978800414335353,1387982.93235575701323467
"USA",13804837.244816493519360878,244537814.090413711145998472
"UZB",521.30840966580870484,51377.91641270788474902
"VAT",0.0,3.4560380881665282
"VCT",20.09395916275299286,27792.75112156172983965
"VEN",191091.96926175283802849,53746318.89794485080146550
"VGB",12.64408349570113336,6855.87422043188051965
"VIR",399.16902129611159567,17846.00533919262362390
"VNM",563928.25911925051978026,14759929.95597431304437512
"VUT",1366.42257859802681098,1161473.77162364743199088
"XAD",3.30450549200502058,335.82079768392644571
"XCA",31.52597492894209570,92179.92051787010204167
"XCL",0.0,0.0
"XKO",5636.95058685865958311,334618.18225049523601518
"XNC",81.5187980202494227,7631.23359743033773810
"XPI",0.0,0.0
"XSP",0.0,0.0
"YEM",4.2678376889478145,9.80050515644468297
"ZAF",830675.58476238100447327,3163002.16782487765874274
"ZMB",18075.84738007356677824,9185039.50918951967750518
"ZWE",48567.54911359067023767,293242.35335567912404019
